Strain,Stress (MPa)
0,0
4.89E-07,0.054941194
9.77E-07,0.109882388
1.47E-06,0.164823581
1.95E-06,0.219764775
2.44E-06,0.274705969
2.93E-06,0.329647163
3.42E-06,0.384588356
3.91E-06,0.43952955
4.40E-06,0.494470744
4.89E-06,0.549411938
5.38E-06,0.604353131
5.86E-06,0.659294325
6.35E-06,0.714235519
6.84E-06,0.769176713
7.33E-06,0.824117906
7.82E-06,0.8790591
8.31E-06,0.934000294
8.80E-06,0.988941488
9.28E-06,1.043882682
9.77E-06,1.098823875
1.03E-05,1.153765069
1.08E-05,1.208706263
1.12E-05,1.263647457
1.17E-05,1.31858865
1.22E-05,1.373529844
1.27E-05,1.428471038
1.32E-05,1.483412232
1.37E-05,1.538353425
1.42E-05,1.593294619
1.47E-05,1.648235813
1.51E-05,1.703177007
1.56E-05,1.758118201
1.61E-05,1.813059394
1.66E-05,1.868000588
1.71E-05,1.922941782
1.76E-05,1.977882976
1.81E-05,2.032824169
1.86E-05,2.087765363
1.91E-05,2.142706557
1.95E-05,2.197647751
2.00E-05,2.252588944
2.05E-05,2.307530138
2.10E-05,2.362471332
2.15E-05,2.417412526
2.20E-05,2.472353719
2.25E-05,2.527294913
2.30E-05,2.582236107
2.32E-05,2.655549134
2.35E-05,2.728862161
2.37E-05,2.802175188
2.40E-05,2.875488215
2.42E-05,2.948801242
2.44E-05,3.022114269
2.47E-05,3.095427296
2.49E-05,3.168740323
2.52E-05,3.24205335
2.54E-05,3.315366377
2.57E-05,3.388679404
2.59E-05,3.46199243
2.62E-05,3.535305457
2.64E-05,3.608618484
2.67E-05,3.681931511
2.69E-05,3.755244538
2.72E-05,3.828557565
2.74E-05,3.901870592
2.77E-05,3.975183619
2.79E-05,4.048496646
2.82E-05,4.121809673
2.84E-05,4.1951227
2.86E-05,4.268435727
2.89E-05,4.341748754
2.91E-05,4.415061781
2.94E-05,4.488374808
2.96E-05,4.561687835
2.99E-05,4.635000862
3.01E-05,4.708313889
3.04E-05,4.781626916
3.06E-05,4.854939943
3.09E-05,4.92825297
3.11E-05,5.001565997
3.14E-05,5.074879024
3.16E-05,5.148192051
3.19E-05,5.221505077
3.21E-05,5.294818104
3.24E-05,5.368131131
3.26E-05,5.441444158
3.28E-05,5.514757185
3.31E-05,5.588070212
3.33E-05,5.661383239
3.36E-05,5.734696266
3.38E-05,5.808009293
3.41E-05,5.88132232
3.43E-05,5.954635347
3.46E-05,6.027948374
3.48E-05,6.082924429
3.51E-05,6.137900484
3.53E-05,6.192876539
3.56E-05,6.247852594
3.58E-05,6.302828649
3.61E-05,6.357804703
3.63E-05,6.412780758
3.65E-05,6.467756813
3.68E-05,6.522732868
3.70E-05,6.577708923
3.73E-05,6.632684978
3.75E-05,6.687661033
3.78E-05,6.742637088
3.80E-05,6.797613143
3.83E-05,6.852589198
3.85E-05,6.907565253
3.88E-05,6.962541308
3.90E-05,7.017517362
3.92E-05,7.072493417
3.95E-05,7.127469472
3.97E-05,7.182445527
4.00E-05,7.237421582
4.02E-05,7.292397637
4.05E-05,7.347373692
4.07E-05,7.402349747
4.10E-05,7.457325802
4.12E-05,7.512301857
4.15E-05,7.567277912
4.17E-05,7.622253967
4.20E-05,7.677230021
4.22E-05,7.732206076
4.24E-05,7.787182131
4.27E-05,7.842158186
4.29E-05,7.897134241
4.32E-05,7.952110296
4.34E-05,8.007086351
4.37E-05,8.062062406
4.39E-05,8.117038461
4.42E-05,8.172014516
4.44E-05,8.226990571
4.47E-05,8.281966626
4.49E-05,8.33694268
4.52E-05,8.391918735
4.54E-05,8.44689479
4.56E-05,8.501870845
4.59E-05,8.5568469
4.61E-05,8.611822955
4.66E-05,8.675932635
