Strain,Stress(Mpa)
0,0
9.31373E-07,0.468582517
1.93627E-06,0.521317867
2.96569E-06,0.542920315
3.92157E-06,0.563252028
4.90196E-06,0.602327063
5.80882E-06,0.636636853
6.7402E-06,0.672217343
7.67157E-06,0.712880734
8.75E-06,0.753861888
9.82843E-06,0.799290559
1.09559E-05,0.839953986
1.20833E-05,0.890783217
1.32843E-05,0.939388706
1.44118E-05,0.992124056
1.55147E-05,1.034693706
1.64951E-05,1.076945385
1.72059E-05,1.110937552
1.80392E-05,1.144611888
1.87745E-05,1.182416259
1.94118E-05,1.208148566
2.02451E-05,1.241823007
2.11275E-05,1.283439406
2.20343E-05,1.327597343
2.29412E-05,1.372708392
2.38235E-05,1.412736469
2.47794E-05,1.44927
2.56618E-05,1.487391818
2.65931E-05,1.527102343
2.73774E-05,1.563953671
2.81618E-05,1.598263462
2.89216E-05,1.631302273
2.97059E-05,1.667200594
3.03186E-05,1.701510385
3.10049E-05,1.729466434
3.17402E-05,1.765682308
3.24755E-05,1.799039091
3.33578E-05,1.84002007
3.43137E-05,1.889578671
3.51961E-05,1.935007343
3.61765E-05,1.975352937
3.71078E-05,2.02237028
3.79902E-05,2.06621049
3.8848E-05,2.109415385
3.96324E-05,2.149443357
4.04412E-05,2.184070734
4.125E-05,2.220286713
4.19118E-05,2.258726434
4.25735E-05,2.289859231
4.33088E-05,2.323851224
4.39951E-05,2.35561958
4.48039E-05,2.391517762
4.58088E-05,2.440441084
4.67647E-05,2.492223427
4.77941E-05,2.537016608
4.87255E-05,2.58117472
4.97059E-05,2.622790909
5.06618E-05,2.666631469
5.14706E-05,2.70729465
5.23284E-05,2.746687552
5.31618E-05,2.785127133
5.39461E-05,2.819119231
5.47059E-05,2.862006294
5.53431E-05,2.895681119
5.60049E-05,2.922366084
5.68382E-05,2.9589
5.75735E-05,2.999563636
5.84804E-05,3.04245035
5.94118E-05,3.090738112
6.02451E-05,3.131084266
6.1201E-05,3.170476923
6.21078E-05,3.216223077
6.30637E-05,3.258157343
6.39706E-05,3.304538811
6.47304E-05,3.341708042
6.55392E-05,3.376335315
6.63726E-05,3.421446329
